openalex_id,doi,title,abstract,referenced_works,publication_date
https://openalex.org/W2439194,https://doi.org/10.21437/interspeech.2006-430,Summarization of spontaneous conversations,"Most speech summarization research is conducted on broadcast news. In our viewpoint, spontaneous conversations are a more “typical” speech source that distinguishes speech summarization from text summarization, and hence a more appropriate domain for studying speech summarization. For example, spontaneous conversations contain more spoken-language characteristics, e.g. disfluencies and false starts. They are also more vulnerable to ASR errors. Previous research has studied some aspects of this type of data, but this paper addresses the problem further in several important respects. First, we summarize spontaneous conversations with features of a wide variety that have not been explored before. Second, we examine the role of disfluencies in summarization, which in all previous work was either not explicitly handled or removed as noise. Third, we breakdown and analyze the impact of WER on the individual features for summarization. Index Terms: speech summarization, utterance selection, spontaneous conversations","['https://openalex.org/W1516768428', 'https://openalex.org/W2100845659', 'https://openalex.org/W1909089697', 'https://openalex.org/W2014571624']",2006-09-17
https://openalex.org/W1831406492,https://doi.org/10.21437/interspeech.2005-59,Extractive summarization of meeting recordings,"Several approaches to automatic speech summarization are discussed below, using the ICSI Meetings corpus.We contrast feature-based approaches using prosodic and lexical features with maximal marginal relevance and latent semantic analysis approaches to summarization.While the latter two techniques are borrowed directly from the field of text summarization, feature-based approaches using prosodic information are able to utilize characteristics unique to speech data.We also investigate how the summarization results might deteriorate when carried out on ASR output as opposed to manual transcripts.All of the summaries are of an extractive variety, and are compared using the software ROUGE.","['https://openalex.org/W126092571', 'https://openalex.org/W219285816', 'https://openalex.org/W1482114536', 'https://openalex.org/W1503312748', 'https://openalex.org/W1516768428', 'https://openalex.org/W1591607137', 'https://openalex.org/W1967082914', 'https://openalex.org/W2011950632', 'https://openalex.org/W2083305840', 'https://openalex.org/W2101390659', 'https://openalex.org/W2127466445', 'https://openalex.org/W2130217807', 'https://openalex.org/W2147152072', 'https://openalex.org/W2150824314', 'https://openalex.org/W3138773240', 'https://openalex.org/W3151369355', 'https://openalex.org/W4301024441']",2005-09-04
https://openalex.org/W1954622760,,*SEM 2012 Shared Task: Resolving the Scope and Focus of Negation,"The Joint Conference on Lexical and Computational Semantics (*SEM) each year hosts a shared task on semantic related topics. In its first edition held in 2012, the shared task was dedicated to resolving the scope and focus of negation. This paper presents the specifications, datasets and evaluation criteria of the task. An overview of participating systems is provided and their results are summarized. 1","['https://openalex.org/W2032021697', 'https://openalex.org/W2038324640', 'https://openalex.org/W1988366874', 'https://openalex.org/W1982464493', 'https://openalex.org/W1990435674', 'https://openalex.org/W2110871096', 'https://openalex.org/W2105827650', 'https://openalex.org/W2096765155', 'https://openalex.org/W1973406306', 'https://openalex.org/W1970849810', 'https://openalex.org/W1535015163', 'https://openalex.org/W1508977358', 'https://openalex.org/W2013833248', 'https://openalex.org/W2145310422', 'https://openalex.org/W2251956625', 'https://openalex.org/W2139865360', 'https://openalex.org/W2434901392', 'https://openalex.org/W2168244486', 'https://openalex.org/W11155487', 'https://openalex.org/W43192923', 'https://openalex.org/W2081687495', 'https://openalex.org/W2125712079', 'https://openalex.org/W2128053456']",2012-06-07
https://openalex.org/W2011950632,https://doi.org/10.1162/089120102762671945,Automatic Summarization of Open-Domain Multiparty Dialogues in Diverse Genres,"Automatic summarization of open-domain spoken dialogues is a relatively new research area. This article introduces the task and the challenges involved and motivates and presents an approach for obtaining automatic-extract summaries for human transcripts of multiparty dialogues of four different genres, without any restriction on domain. We address the following issues, which are intrinsic to spoken-dialogue summarization and typically can be ignored when summarizing written text such as news wire data: (1) detection and removal of speech disfluencies; (2) detection and insertion of sentence boundaries; and (3) detection and linking of cross-speaker information units (question-answer pairs). A system evaluation is performed using a corpus of 23 dialogue excerpts with an average duration of about 10 minutes, comprising 80 topical segments and about 47,000 words total. The corpus was manually annotated for relevant text spans by six human annotators. The global evaluation shows that for the two more informal genres, our summarization system using dialogue-specific components significantly outperforms two baselines: (1) a maximum-marginal-relevance ranking algorithm using TF*IDF term weighting, and (2) a LEAD baseline that extracts the first n words from a text.","['https://openalex.org/W2053154970', 'https://openalex.org/W1972586296', 'https://openalex.org/W2065388812', 'https://openalex.org/W2149593800', 'https://openalex.org/W2112078429', 'https://openalex.org/W2426479676', 'https://openalex.org/W2128970689', 'https://openalex.org/W2433301444', 'https://openalex.org/W2403632467', 'https://openalex.org/W2021834096', 'https://openalex.org/W2118119027', 'https://openalex.org/W2125055259', 'https://openalex.org/W2046783278', 'https://openalex.org/W2048207804', 'https://openalex.org/W1980365852', 'https://openalex.org/W2101390659', 'https://openalex.org/W2097203679', 'https://openalex.org/W2097278922', 'https://openalex.org/W2109730238', 'https://openalex.org/W2914605928', 'https://openalex.org/W2083305840', 'https://openalex.org/W2038456810', 'https://openalex.org/W17663816', 'https://openalex.org/W1582023067', 'https://openalex.org/W1927834029', 'https://openalex.org/W69538089', 'https://openalex.org/W1577877742', 'https://openalex.org/W1482114536', 'https://openalex.org/W900993354', 'https://openalex.org/W1562694524', 'https://openalex.org/W103561777', 'https://openalex.org/W1497703589', 'https://openalex.org/W1902712755', 'https://openalex.org/W61566120', 'https://openalex.org/W36140910', 'https://openalex.org/W1828401780', 'https://openalex.org/W1595703060', 'https://openalex.org/W1504308419', 'https://openalex.org/W1669912781', 'https://openalex.org/W155499641', 'https://openalex.org/W2145167175', 'https://openalex.org/W2152816769', 'https://openalex.org/W2141171442', 'https://openalex.org/W2159587163', 'https://openalex.org/W2069251346', 'https://openalex.org/W2067879405', 'https://openalex.org/W2065553296', 'https://openalex.org/W2063466867', 'https://openalex.org/W3138773240', 'https://openalex.org/W3035219831', 'https://openalex.org/W4285719527', 'https://openalex.org/W4241850027', 'https://openalex.org/W4381925011', 'https://openalex.org/W2165487751', 'https://openalex.org/W2166637769', 'https://openalex.org/W2170381724', 'https://openalex.org/W2167702024']",2002-12-01
https://openalex.org/W2016089260,https://doi.org/10.1023/b:bttj.0000047600.45421.6d,ConceptNet — A Practical Commonsense Reasoning Tool-Kit,,"['https://openalex.org/W181868102', 'https://openalex.org/W347481693', 'https://openalex.org/W4235505822', 'https://openalex.org/W2107901333', 'https://openalex.org/W2135255848', 'https://openalex.org/W1521037850', 'https://openalex.org/W1969881222', 'https://openalex.org/W2097639886', 'https://openalex.org/W4213168938', 'https://openalex.org/W1490209615', 'https://openalex.org/W1487906362', 'https://openalex.org/W2026161499', 'https://openalex.org/W2035701280', 'https://openalex.org/W1588334983', 'https://openalex.org/W4239045648', 'https://openalex.org/W1750885886', 'https://openalex.org/W1546134730', 'https://openalex.org/W119559385', 'https://openalex.org/W2031215447', 'https://openalex.org/W2144268630', 'https://openalex.org/W2130247419', 'https://openalex.org/W6635560312', 'https://openalex.org/W87415491', 'https://openalex.org/W2115792525', 'https://openalex.org/W2116871363', 'https://openalex.org/W2123086176', 'https://openalex.org/W2115541970', 'https://openalex.org/W2053830012', 'https://openalex.org/W2107658650', 'https://openalex.org/W2109190044', 'https://openalex.org/W2038721957', 'https://openalex.org/W2046295299', 'https://openalex.org/W1954943110', 'https://openalex.org/W1553979208', 'https://openalex.org/W1597192317', 'https://openalex.org/W2075718943', 'https://openalex.org/W2070453864', 'https://openalex.org/W3150562944']",2004-10-01
https://openalex.org/W2139414852,https://doi.org/10.1109/slt.2008.4777863,A keyphrase based approach to interactive meeting summarization,"Rooted in multi-document summarization, maximum marginal relevance (MMR) is a widely used algorithm for meeting summarization (MS). A major problem in extractive MS using MMR is finding a proper query: the centroid based query which is commonly used in the absence of a manually specified query, can not significantly outperform a simple baseline system. We introduce a simple yet robust algorithm to automatically extract keyphrases (KP) from a meeting which can then be used as a query in the MMR algorithm. We show that the KP based system significantly outperforms both baseline and centroid based systems. As human refined KPs show even better summarization performance, we outline how to integrate the KP approach into a graphical user interface allowing interactive summarization to match the user's needs in terms of summary length and topic focus.","['https://openalex.org/W2439194', 'https://openalex.org/W36558693', 'https://openalex.org/W1499800862', 'https://openalex.org/W1503312748', 'https://openalex.org/W1591607137', 'https://openalex.org/W1613038151', 'https://openalex.org/W1831406492', 'https://openalex.org/W1985060136', 'https://openalex.org/W2015469910', 'https://openalex.org/W2031551344', 'https://openalex.org/W2038721957', 'https://openalex.org/W2083305840', 'https://openalex.org/W2106867392', 'https://openalex.org/W2110055256', 'https://openalex.org/W2137370819', 'https://openalex.org/W2146959363', 'https://openalex.org/W2154652894', 'https://openalex.org/W3138773240', 'https://openalex.org/W4285719527', 'https://openalex.org/W6629959972', 'https://openalex.org/W6630051584', 'https://openalex.org/W6646438163', 'https://openalex.org/W6681847239', 'https://openalex.org/W6682631176']",2008-12-01
https://openalex.org/W2159587163,https://doi.org/10.3115/992730.992786,DiaSumm,"In this paper, we present a summarization system for spontaneous dialogues which consists of a novel multi-stage architecture. It is specifically aimed at addressing issues related to the nature of the texts being spoken vs. written and being dialogical vs. monological. The system is embedded in a graphical user interface and was developed and tested on transcripts of recorded telephone conversations in English and Spanish (CALLHOME).","['https://openalex.org/W2166637769', 'https://openalex.org/W2293246373', 'https://openalex.org/W2170381724', 'https://openalex.org/W2046783278', 'https://openalex.org/W2083305840', 'https://openalex.org/W4300987104', 'https://openalex.org/W4252533855', 'https://openalex.org/W2426479676', 'https://openalex.org/W3138773240', 'https://openalex.org/W4285719527', 'https://openalex.org/W1964326564', 'https://openalex.org/W1956559956', 'https://openalex.org/W1927834029', 'https://openalex.org/W2065553296', 'https://openalex.org/W1573514622', 'https://openalex.org/W1552347366', 'https://openalex.org/W1810745899', 'https://openalex.org/W1828401780', 'https://openalex.org/W1540246022', 'https://openalex.org/W2021834096', 'https://openalex.org/W61566120', 'https://openalex.org/W37409981', 'https://openalex.org/W94155879', 'https://openalex.org/W1482114536', 'https://openalex.org/W1504308419', 'https://openalex.org/W36140910', 'https://openalex.org/W103561777', 'https://openalex.org/W2135828078', 'https://openalex.org/W2112078429', 'https://openalex.org/W2145167175']",2000-01-01
https://openalex.org/W2466175319,https://doi.org/10.18653/v1/n16-1098,A Corpus and Cloze Evaluation for Deeper Understanding of Commonsense Stories,"Nasrin Mostafazadeh, Nathanael Chambers, Xiaodong He, Devi Parikh, Dhruv Batra, Lucy Vanderwende, Pushmeet Kohli, James Allen. Proceedings of the 2016 Conference of the North American Chapter of the Association for Computational Linguistics: Human Language Technologies. 2016.","['https://openalex.org/W18256163', 'https://openalex.org/W30314283', 'https://openalex.org/W101610152', 'https://openalex.org/W1486393111', 'https://openalex.org/W1486649854', 'https://openalex.org/W1525961042', 'https://openalex.org/W1544827683', 'https://openalex.org/W1566289585', 'https://openalex.org/W1592309905', 'https://openalex.org/W1599016936', 'https://openalex.org/W1702669762', 'https://openalex.org/W1846895676', 'https://openalex.org/W1933455514', 'https://openalex.org/W1998398906', 'https://openalex.org/W2000900121', 'https://openalex.org/W2005814556', 'https://openalex.org/W2071877188', 'https://openalex.org/W2081580037', 'https://openalex.org/W2099531122', 'https://openalex.org/W2108325777', 'https://openalex.org/W2123442489', 'https://openalex.org/W2125436846', 'https://openalex.org/W2130158090', 'https://openalex.org/W2136189984', 'https://openalex.org/W2145374219', 'https://openalex.org/W2145755360', 'https://openalex.org/W2151295812', 'https://openalex.org/W2158794898', 'https://openalex.org/W2160467647', 'https://openalex.org/W2162079025', 'https://openalex.org/W2164585080', 'https://openalex.org/W2169943035', 'https://openalex.org/W2250506749', 'https://openalex.org/W2250836735', 'https://openalex.org/W2251344056', 'https://openalex.org/W2252139350', 'https://openalex.org/W2267020232', 'https://openalex.org/W2270070752', 'https://openalex.org/W2335559472', 'https://openalex.org/W2499585162', 'https://openalex.org/W2511178802', 'https://openalex.org/W2949433733', 'https://openalex.org/W2949615363', 'https://openalex.org/W2950133940', 'https://openalex.org/W2962790689', 'https://openalex.org/W4253067820', 'https://openalex.org/W4294170691', 'https://openalex.org/W4386506836']",2016-01-01
https://openalex.org/W2933138175,https://doi.org/10.18653/v1/n19-4009,"fairseq: A Fast, Extensible Toolkit for Sequence Modeling","Myle Ott, Sergey Edunov, Alexei Baevski, Angela Fan, Sam Gross, Nathan Ng, David Grangier, Michael Auli. Proceedings of the 2019 Conference of the North American Chapter of the Association for Computational Linguistics (Demonstrations). 2019.","['https://openalex.org/W2804704270', 'https://openalex.org/W2807964741', 'https://openalex.org/W2633911929', 'https://openalex.org/W2797328513', 'https://openalex.org/W2778814079', 'https://openalex.org/W2606974598', 'https://openalex.org/W2785047343', 'https://openalex.org/W2792376130', 'https://openalex.org/W2767989436', 'https://openalex.org/W2567070169', 'https://openalex.org/W2612675303', 'https://openalex.org/W2795285343', 'https://openalex.org/W2798931235', 'https://openalex.org/W2763421725', 'https://openalex.org/W2613904329', 'https://openalex.org/W2519314406', 'https://openalex.org/W2154652894', 'https://openalex.org/W4293569541', 'https://openalex.org/W4293718192', 'https://openalex.org/W4385245566', 'https://openalex.org/W4297788867', 'https://openalex.org/W4297801368', 'https://openalex.org/W4297747548', 'https://openalex.org/W2963366552', 'https://openalex.org/W2963970792', 'https://openalex.org/W2964190861', 'https://openalex.org/W2963206679', 'https://openalex.org/W2963096510', 'https://openalex.org/W2951559648', 'https://openalex.org/W2952339051', 'https://openalex.org/W2963532001', 'https://openalex.org/W2962784628', 'https://openalex.org/W2963034893', 'https://openalex.org/W2951672049', 'https://openalex.org/W2963773505', 'https://openalex.org/W2963475460', 'https://openalex.org/W2963807318', 'https://openalex.org/W2973088264', 'https://openalex.org/W2963631907', 'https://openalex.org/W2963418779', 'https://openalex.org/W2964343359', 'https://openalex.org/W2964258094', 'https://openalex.org/W2962974452', 'https://openalex.org/W2963112338', 'https://openalex.org/W2964265128', 'https://openalex.org/W2963500743', 'https://openalex.org/W2963929190', 'https://openalex.org/W2949555952', 'https://openalex.org/W2962805889', 'https://openalex.org/W2950513705', 'https://openalex.org/W2963925437', 'https://openalex.org/W2963263347', 'https://openalex.org/W2949615363', 'https://openalex.org/W2963212250', 'https://openalex.org/W2963403868', 'https://openalex.org/W3082674894', 'https://openalex.org/W1938755728', 'https://openalex.org/W1902237438', 'https://openalex.org/W1544827683', 'https://openalex.org/W2259472270', 'https://openalex.org/W2889326796', 'https://openalex.org/W2889518897', 'https://openalex.org/W2898875342', 'https://openalex.org/W2888482885', 'https://openalex.org/W2890914727', 'https://openalex.org/W2914855263']",2019-01-01
https://openalex.org/W2950339735,https://doi.org/10.18653/v1/p19-1470,COMET: Commonsense Transformers for Automatic Knowledge Graph Construction,"We present the first comprehensive study on automatic knowledge base construction for two prevalent commonsense knowledge graphs: ATOMIC (Sap et al., 2019) and ConceptNet (Speer et al., 2017). Contrary to many conventional KBs that store knowledge with canonical templates, commonsense KBs only store loosely structured open-text descriptions of knowledge. We posit that an important step toward automatic commonsense completion is the development of generative models of commonsense knowledge, and propose COMmonsEnse Transformers (COMET) that learn to generate rich and diverse commonsense descriptions in natural language. Despite the challenges of commonsense modeling, our investigation reveals promising results when implicit knowledge from deep pre-trained language models is transferred to generate explicit knowledge in commonsense knowledge graphs. Empirical results demonstrate that COMET is able to generate novel knowledge that humans rate as high quality, with up to 77.5% (ATOMIC) and 91.7% (ConceptNet) precision at top 1, which approaches human performance for these resources. Our findings suggest that using generative commonsense models for automatic commonsense KB completion could soon be a plausible alternative to extractive methods.","['https://openalex.org/W2022166150', 'https://openalex.org/W2016753842', 'https://openalex.org/W2045495924', 'https://openalex.org/W2050482109', 'https://openalex.org/W2064675550', 'https://openalex.org/W2963403868', 'https://openalex.org/W2963101081', 'https://openalex.org/W2962739339', 'https://openalex.org/W2964207259', 'https://openalex.org/W2962881743', 'https://openalex.org/W2963341956', 'https://openalex.org/W2107658650', 'https://openalex.org/W2159583324', 'https://openalex.org/W2129842875', 'https://openalex.org/W2130942839', 'https://openalex.org/W2111488410', 'https://openalex.org/W2167187514', 'https://openalex.org/W2121044470', 'https://openalex.org/W2122865749', 'https://openalex.org/W2081580037', 'https://openalex.org/W2094728533', 'https://openalex.org/W2203512898', 'https://openalex.org/W2250539671', 'https://openalex.org/W2316643298', 'https://openalex.org/W2897509371', 'https://openalex.org/W2898984325', 'https://openalex.org/W2896457183', 'https://openalex.org/W2509019445', 'https://openalex.org/W2471366537', 'https://openalex.org/W2462831000', 'https://openalex.org/W2493916176', 'https://openalex.org/W1520485300', 'https://openalex.org/W1483236033', 'https://openalex.org/W1512387364', 'https://openalex.org/W102708294', 'https://openalex.org/W4385245566', 'https://openalex.org/W2561529111']",2019-01-01
