key,title,label,source,source_id,arxiv_id,doi,s2_paper_id
blsp,BLSP: Bootstrapping Language-Speech Pre-training via Behavior Alignment of Continuation Writing,U,arxiv,2309.00916v2,2309.00916,,204fd6c5e247c477d607f507ee01d94a8dbd408f
wang2023slm,SLM: Bridge the thin gap between speech and text foundation models,U,arxiv,2310.00230v1,2310.00230,,e188f083af29299a2deb1fab1091a8ad32743b0f
duplextimeNuerIPS24,A Full-duplex Speech Dialogue Scheme Based On Large Language Models,U,arxiv,2405.19487v2,2405.19487,,45b11ebadc9eef2c0868853368b03e08eb14e5fc
wang2024freezeomnismartlowlatency,Freeze-Omni: A Smart and Low Latency Speech-to-speech Dialogue Model with Frozen LLM,U,arxiv,2411.00774v5,2411.00774,,45b53401717decd82cea2068fa8b1c4947b70594
warstadt2020blimp,BLiMP: The Benchmark of Linguistic Minimal Pairs for English,U,crossref,10.1162/tacl_a_00321,,10.1162/tacl_a_00321,5a2263092f49540fd0e049050a96882ff29b00c3
FLAN,Finetuned Language Models Are Zero-Shot Learners,U,arxiv,2109.01652v5,2109.01652,,ff0b2681d7b05e16c46dfb71d980cc2f605907cd
CoT,Chain-of-Thought Prompting Elicits Reasoning in Large Language Models,U,arxiv,2201.11903v6,2201.11903,,1b6e810ce0afd0dd093f789d2b2742d047e316d5
wav2seq,Wav2Seq: Pre-training Speech-to-Text Encoder-Decoder Models Using Pseudo Languages,U,arxiv,2205.01086v1,2205.01086,,708f52050bf9dc134124e8b9e4dbc1ecc65f0401
wu2024towards,Towards audio language modeling -- an overview,U,arxiv,2402.13236v1,2402.13236,,53b6995fd82b4f14fcc198d519843bc0f4cb7c1f
wu2024codec,Codec-SUPERB @ SLT 2024: A lightweight benchmark for neural audio codec models,U,arxiv,2409.14085v1,2409.14085,,158cd404a60a284d06dc791c100ac2c0b9121d0a
wu-etal-2024-codec,Codec-SUPERB: An In-Depth Analysis of Sound Codec Models,U,arxiv,2402.13071v3,2402.13071,,5bde820a55815dc30bf4e871444d763680ba7e2e
wu2024ts3,TS3-Codec: Transformer-Based Simple Streaming Single Codec,U,arxiv,2411.18803v2,2411.18803,,e3ec2c742acbdc06398f1f0aae21f2675db1d358
wu2024codecfake,CodecFake: Enhancing Anti-Spoofing Models Against Deepfake Audios from Codec-Based Speech Synthesis Systems,U,arxiv,2406.07237v1,2406.07237,,57a82c09c32d44d5582103adee8c6723bd5edabf
wu2023decoder,On decoder-only architecture for speech-to-text and large language model integration,U,arxiv,2307.03917v3,2307.03917,,8e1868f84091272544cb4209c4ccaad7cc88af27
xie2024mini,"Mini-Omni: Language Models Can Hear, Talk While Thinking in Streaming",U,arxiv,2408.16725v3,2408.16725,,8625ab06f76caf36ab138bac20a3116ba5b298e6
xie2024mini2,"Mini-Omni2: Towards Open-source GPT-4o with Vision, Speech and Duplex Capabilities",U,semantic_scholar,b4c98b8c624f288db2f1dba8a71e4c4962bff192,,,b4c98b8c624f288db2f1dba8a71e4c4962bff192
xin2024bigcodec,BigCodec: Pushing the Limits of Low-Bitrate Neural Speech Codec,U,arxiv,2409.05377v1,2409.05377,,18118403b611ac0fa2ed91f5cf9408111f8683c2
xu2024enablingrealtimeconversationsminimal,Enabling Real-Time Conversations with Minimal Training Costs,U,arxiv,2409.11727v1,2409.11727,,239d6038947fa9e6e88a74e0e46117d1188d5c09
xue2024chat,E-chat: Emotion-sensitive Spoken Dialogue System with Large Language Models,U,arxiv,2401.00475v3,2401.00475,,356cc7533e562b4cc56fad93fade0e77e829d6c4
airbench,AIR-Bench: Benchmarking Large Audio-Language Models via Generative Comprehension,U,arxiv,2402.07729v2,2402.07729,,57a16e741016638dfd5b5f4c8a839c65ef83b817
yu2023megabyte,MEGABYTE: Predicting Million-byte Sequences with Multiscale Transformers,U,arxiv,2305.07185v2,2305.07185,,412e266cddfd87c79087a88ba1e4d11b89a45a13
yu2024connecting,Connecting Speech Encoder and Large Language Model for ASR,U,arxiv,2309.13963v2,2309.13963,,5596bd3e26ec2207666ec1ff3db4415d212f14b9
Flow-Omni,Continuous Speech Tokens Makes LLMs Robust Multi-Modality Learners,U,arxiv,2412.04917v1,2412.04917,,0e0ac1881c96ae53b0dd047cb2afe2c254889415
soundstream,SoundStream: An End-to-End Neural Audio Codec,U,arxiv,2107.03312v1,2107.03312,,59a0ef2d3bccebb544a2df4ad0453d49cc8e731f
zellers2019hellaswag,HellaSwag: Can a Machine Really Finish Your Sentence?,U,arxiv,1905.07830v1,1905.07830,,8b0f27bb594b1eaaf493eaf1e2ee723a2b0a19ad
zeng2024glm,GLM-4-Voice: Towards Intelligent and Human-Like End-to-End Spoken Chatbot,U,arxiv,2412.02612v1,2412.02612,,164e9a9ab16ecf675d1a82325282ef0aaa29d3b7
zeng2024scaling,Scaling Speech-Text Pre-training with Synthetic Interleaved Data,U,arxiv,2411.17607v2,2411.17607,,dded8092b92e41a2201a45d3b9912463d5bc7a84
anygpt,AnyGPT: Unified Multimodal LLM with Discrete Sequence Modeling,U,arxiv,2402.12226v5,2402.12226,,14191e9f12913ad8c7ac6e1188682afac04aad09
zhang2023speechgpt,SpeechGPT: Empowering Large Language Models with Intrinsic Cross-Modal Conversational Abilities,U,arxiv,2305.11000v2,2305.11000,,5cac6430bd379c9d2fe13137dfd6ae7721a2679f
zhang2024mm,MM-LLMs: Recent Advances in MultiModal Large Language Models,U,semantic_scholar,a050c9b0c321839e4427ab9defa3463be7825ac4,,,a050c9b0c321839e4427ab9defa3463be7825ac4
zhang2025omniflattenendtoendgptmodel,OmniFlatten: An End-to-end GPT Model for Seamless Voice Conversation,U,arxiv,2410.17799v2,2410.17799,,ff0e3b8902121832e8b9518745c394b2c1d1efad
zhang2022opt,OPT: Open Pre-trained Transformer Language Models,U,arxiv,2205.01068v4,2205.01068,,13a0d8bb38f739990c8cd65a44061c6534f17221
speechtokenizer,SpeechTokenizer: Unified Speech Tokenizer for Speech Large Language Models,U,semantic_scholar,5fc1a1f79ea4d1a1c6e8da1a40ae08022a6d7308,,,5fc1a1f79ea4d1a1c6e8da1a40ae08022a6d7308
zhang2024turnbasedgameenablingrealtime,Beyond the Turn-Based Game: Enabling Real-Time Conversations with Duplex Models,U,arxiv,2406.15718v2,2406.15718,,125ff68732c441e143cf33587bebd2ab01372e49
usm,Google USM: Scaling Automatic Speech Recognition Beyond 100 Languages,U,arxiv,2303.01037v3,2303.01037,,777317e5af8742b30408e98778fa067750e69f78
zheng2023judging,Judging LLM-as-a-Judge with MT-Bench and Chatbot Arena,U,arxiv,2306.05685v4,2306.05685,,a0a79dad89857a96f8f71b14238e5237cbfc4787
