src_key,dst_key,match_type
Jiang2024MDCTCodecAL,yang2023hifi,arxiv
Jiang2024MDCTCodecAL,zeghidour2021soundstream,arxiv
Jiang2024MDCTCodecAL,zhang2023speechtokenizer,arxiv
Kavalerov2019UniversalSS,LuoY2019conv-tasnet,arxiv
Kavalerov2019UniversalSS,hershey2016deep,arxiv
Kavalerov2019UniversalSS,kolbaek2017multitalker,paperId
Kavalerov2019UniversalSS,le2019sdr,arxiv
Kleijn2018wavenet,atal1970speech,paperId
Kleijn2018wavenet,oord2016wavenet,arxiv
LuoY2019conv-tasnet,hershey2016deep,arxiv
LuoY2019conv-tasnet,kolbaek2017multitalker,paperId
LuoY2019conv-tasnet,oord2016wavenet,arxiv
LuoY2019conv-tasnet,vincent2006bss,paperId
Pan2024PSCodecAS,1360861705599880960,arxiv
Pan2024PSCodecAS,ai2024apcodec,arxiv
Pan2024PSCodecAS,borsos2023audiolm,arxiv
Pan2024PSCodecAS,defossez2022high,arxiv
Pan2024PSCodecAS,dietz2015overview,paperId
Pan2024PSCodecAS,du2023funcodec,arxiv
Pan2024PSCodecAS,garbacea2019low,arxiv
Pan2024PSCodecAS,ho2020denoising,arxiv
Pan2024PSCodecAS,jiang2023disentangled,arxiv
Pan2024PSCodecAS,ju2024naturalspeech,arxiv
Pan2024PSCodecAS,kong2020hifigan,arxiv
Pan2024PSCodecAS,kumar2023high,arxiv
Pan2024PSCodecAS,li2024single,arxiv
Pan2024PSCodecAS,oord2016wavenet,arxiv
Pan2024PSCodecAS,ren2024ticodec,arxiv
Pan2024PSCodecAS,rombach2022high,arxiv
Pan2024PSCodecAS,san2023discrete,arxiv
Pan2024PSCodecAS,transformer,arxiv
Pan2024PSCodecAS,vqvae2017,arxiv
Pan2024PSCodecAS,wang2023lmvc,arxiv
Pan2024PSCodecAS,wang2023neural,arxiv
Pan2024PSCodecAS,wu2023audiodec,arxiv
Pan2024PSCodecAS,xue24lowlatency,arxiv
Pan2024PSCodecAS,yang2023hifi,arxiv
Pan2024PSCodecAS,yang2024generative,arxiv
Pan2024PSCodecAS,zeghidour2021soundstream,arxiv
Pan2024PSCodecAS,zen2019libritts,paperId
Saijo2024_TFLoco,7178964,paperId
Saijo2024_TFLoco,LuoY2019conv-tasnet,arxiv
Saijo2024_TFLoco,cosentino2020librimix,arxiv
Saijo2024_TFLoco,gulati_conformer,arxiv
Saijo2024_TFLoco,hershey2016deep,arxiv
Saijo2024_TFLoco,le2019sdr,arxiv
Saijo2024_TFLoco,radford2023robust,arxiv
Saijo2024_TFLoco,transformer,arxiv
Saijo2024_TFLoco,vincent2006bss,paperId
Wu2024TS3CodecTS,1360861705599880960,arxiv
Wu2024TS3CodecTS,7178964,paperId
Wu2024TS3CodecTS,borsos2023audiolm,arxiv
Wu2024TS3CodecTS,chen2022wavlm,arxiv
Wu2024TS3CodecTS,copet2024musicgen,arxiv
Wu2024TS3CodecTS,defossez2022high,arxiv
Wu2024TS3CodecTS,defossez2024moshi,arxiv
Wu2024TS3CodecTS,goodfellow2020generative,paperId
Wu2024TS3CodecTS,hsu2021hubert,arxiv
Wu2024TS3CodecTS,ji2024wavtokenizer,arxiv
Wu2024TS3CodecTS,kong2020hifigan,arxiv
Wu2024TS3CodecTS,kumar2023high,arxiv
Wu2024TS3CodecTS,li2024single,arxiv
Wu2024TS3CodecTS,mentzer2023finite,arxiv
Wu2024TS3CodecTS,mousavi2024dasb,arxiv
Wu2024TS3CodecTS,nguyen2023generative,arxiv
Wu2024TS3CodecTS,ren2024ticodec,arxiv
Wu2024TS3CodecTS,shi2024espnet,arxiv
Wu2024TS3CodecTS,siuzdak2023vocos,arxiv
Wu2024TS3CodecTS,transformer,arxiv
