key,title,label,source,source_id,arxiv_id,doi,s2_paper_id
zengscaling,Scaling Speech-Text Pre-training with Synthetic Interleaved Data,B,arxiv,2411.17607v2,2411.17607,,dded8092b92e41a2201a45d3b9912463d5bc7a84
yosha2025stresstest,StressTest: Can YOUR Speech LM Handle the Stress?,C,arxiv,2505.22765v2,2505.22765,,dde980f9fcf513eefb73c73c26087cef2272bad6
mousavi2025listen,LiSTEN: Learning Soft Token Embeddings for Neural Audio LLMs,B,arxiv,2505.18517v1,2505.18517,,4fc40fc18f65251e652f4ae7b29d0641f644e350
kumar2024sila,SILA: Signal-to-Language Augmentation for Enhanced Control in Text-to-Audio Generation,B,arxiv,2412.09789v1,2412.09789,,f25f1f8397f71250dc9bd17492d36fc6cbcb7ac0
chen2025video,Video-Guided Foley Sound Generation with Multimodal Controls,B,arxiv,2411.17698v4,2411.17698,,f6ced92eefc6a9bc6f0004285f9bffb359ecfa32
international1993coding,{Coding of moving pictures and associated audio for digital storage media at up to about 1.5 Mbit/s},C,bsi,https://knowledge.bsigroup.com/products/information-technology-coding-of-moving-pictures-and-associated-audio-for-digital-storage-media-at-up-to-about-1-5-mbit-s-compliance-testing,,,
6530580,MPEG Unified Speech and Audio Coding,C,semantic_scholar,9d0ea1deb125e736478c6a07c89519c40eb7f154,,,9d0ea1deb125e736478c6a07c89519c40eb7f154
devlin2019bert,BERT: Pre-training of Deep Bidirectional Transformers for Language Understanding,C,arxiv,1810.04805v2,1810.04805,,df2b0e26d0599ce3e70df8a9da02e51594e0e992
turetzky2024last,LAST: Language Model Aware Speech Tokenization,B,arxiv,2409.03701v2,2409.03701,,b6272e96c7e6228b0ecbf4d7f0aeb3f4bc789376
zheng2025ervq,ERVQ: Enhanced Residual Vector Quantization with Intra-and-Inter-Codebook Optimization for Neural Audio Codecs,B,arxiv,2410.12359v2,2410.12359,,162663fc7652240085788882946edd24e02d634f
esser2021taming,Taming Transformers for High-Resolution Image Synthesis,C,arxiv,2012.09841v3,2012.09841,,47f7ec3d0a5e6e83b6768ece35206a94dc81919c
